Server,Keyword,Search Time,Execution Time,Total Time,Rows Fetched
srv03945.soton.ac.uk,diabetes,19380,31822,33760,32691
srv03946.soton.ac.uk,diabetes,25184,31822,33760,32691
srv03947.soton.ac.uk,diabetes,18934,31822,33760,32691
srv03948.soton.ac.uk,diabetes,18760,31822,33760,32691
srv03949.soton.ac.uk,diabetes,27460,31822,33760,32691
srv03950.soton.ac.uk,diabetes,19355,31822,33760,32691
srv03951.soton.ac.uk,diabetes,16158,31822,33760,32691
srv03952.soton.ac.uk,diabetes,16274,31822,33760,32691
srv03953.soton.ac.uk,diabetes,31671,31822,33760,32691
srv03954.soton.ac.uk,diabetes,18878,31822,33760,32691
srv03955.soton.ac.uk,diabetes,17659,31822,33760,32691
srv03812.soton.ac.uk,diabetes,8301,28966,30204,32691
srv03813.soton.ac.uk,diabetes,26356,28966,30204,32691
srv03814.soton.ac.uk,diabetes,17402,28966,30204,32691
srv03815.soton.ac.uk,diabetes,27223,28966,30204,32691
srv03816.soton.ac.uk,diabetes,28071,28966,30204,32691
srv03911.soton.ac.uk,diabetes,26547,28966,30204,32691
srv03912.soton.ac.uk,diabetes,18179,28966,30204,32691
srv03913.soton.ac.uk,diabetes,19725,28966,30204,32691
srv03914.soton.ac.uk,diabetes,18083,28966,30204,32691
srv03915.soton.ac.uk,diabetes,18950,28966,30204,32691
srv03916.soton.ac.uk,diabetes,19420,28966,30204,32691
srv03917.soton.ac.uk,diabetes,18168,28966,30204,32691
srv03918.soton.ac.uk,diabetes,17911,28966,30204,32691
srv03919.soton.ac.uk,diabetes,19706,28966,30204,32691
srv03920.soton.ac.uk,diabetes,18224,28966,30204,32691
srv03921.soton.ac.uk,diabetes,18727,28966,30204,32691
srv03922.soton.ac.uk,diabetes,18135,28966,30204,32691
srv03923.soton.ac.uk,diabetes,20365,28966,30204,32691
srv03924.soton.ac.uk,diabetes,23342,28966,30204,32691
srv03925.soton.ac.uk,diabetes,22147,28966,30204,32691
srv03926.soton.ac.uk,diabetes,28798,28966,30204,32691
srv03927.soton.ac.uk,diabetes,17272,28966,30204,32691
srv03928.soton.ac.uk,diabetes,19432,28966,30204,32691
srv03929.soton.ac.uk,diabetes,18061,28966,30204,32691
srv03930.soton.ac.uk,diabetes,15204,28966,30204,32691
srv03931.soton.ac.uk,diabetes,16779,28966,30204,32691
srv03932.soton.ac.uk,diabetes,27395,28966,30204,32691
srv03933.soton.ac.uk,diabetes,28756,28966,30204,32691
srv03934.soton.ac.uk,diabetes,17953,28966,30204,32691
srv03935.soton.ac.uk,diabetes,19635,28966,30204,32691
srv03936.soton.ac.uk,diabetes,16898,28966,30204,32691
srv03937.soton.ac.uk,diabetes,18513,28966,30204,32691
srv03938.soton.ac.uk,diabetes,27183,28966,30204,32691
srv03939.soton.ac.uk,diabetes,27669,28966,30204,32691
srv03940.soton.ac.uk,diabetes,18249,28966,30204,32691
srv03941.soton.ac.uk,diabetes,26646,28966,30204,32691
srv03942.soton.ac.uk,diabetes,18012,28966,30204,32691
srv03943.soton.ac.uk,diabetes,23119,28966,30204,32691
srv03944.soton.ac.uk,diabetes,20213,28966,30204,32691
srv03945.soton.ac.uk,diabetes,20564,28966,30204,32691
srv03946.soton.ac.uk,diabetes,27476,28966,30204,32691
srv03947.soton.ac.uk,diabetes,17957,28966,30204,32691
srv03948.soton.ac.uk,diabetes,18354,28966,30204,32691
srv03949.soton.ac.uk,diabetes,27206,28966,30204,32691
srv03950.soton.ac.uk,diabetes,19279,28966,30204,32691
srv03951.soton.ac.uk,diabetes,16005,28966,30204,32691
srv03952.soton.ac.uk,diabetes,16635,28966,30204,32691
srv03953.soton.ac.uk,diabetes,28051,28966,30204,32691
srv03954.soton.ac.uk,diabetes,18673,28966,30204,32691
srv03955.soton.ac.uk,diabetes,17617,28966,30204,32691
srv03812.soton.ac.uk,diabetes,8422,30055,32695,32691
srv03813.soton.ac.uk,diabetes,19907,30055,32695,32691
srv03814.soton.ac.uk,diabetes,17233,30055,32695,32691
srv03815.soton.ac.uk,diabetes,27172,30055,32695,32691
srv03816.soton.ac.uk,diabetes,29104,30055,32695,32691
srv03911.soton.ac.uk,diabetes,26529,30055,32695,32691
