[2024-01-03 13:19:45.327, Search APP Start Time: 13:19:44.882,  End time: 13:19:45.329,  Total Time: 454]
[2024-01-03 13:26:16.197, Search APP Start Time: 13:26:15.956,  End time: 13:26:16.198,  Total Time: 241]
[2024-01-03 13:26:21.684, Search APP Start Time: 13:26:21.341,  End time: 13:26:21.684,  Total Time: 343]
[2024-01-03 13:26:30.857, Search APP Start Time: 13:26:30.587,  End time: 13:26:30.857,  Total Time: 270]
[2024-01-03 13:26:40.788, Search APP Start Time: 13:26:40.576,  End time: 13:26:40.788,  Total Time: 212]
[2024-01-03 13:34:43.39, Search APP Start Time: 13:34:42.977,  End time: 13:34:43.390,  Total Time: 421]
[2024-01-03 13:34:51.16, Search APP Start Time: 13:34:50.950,  End time: 13:34:51.161,  Total Time: 210]
[2024-01-03 13:43:35.085, Search APP Start Time: 13:43:34.640,  End time: 13:43:35.087,  Total Time: 455]
[2024-01-03 13:50:34.917, Search APP Start Time: 13:50:34.411,  End time: 13:50:34.919,  Total Time: 518]
[2024-01-03 14:27:13.606, Search APP Start Time: 14:27:03.518,  End time: 14:27:13.608,  Total Time: 10098]
[2024-01-03 14:29:28.949, Search APP Start Time: 14:29:24.642,  End time: 14:29:28.950,  Total Time: 4315]
[2024-01-03 14:36:49.566, Search APP Start Time: 14:36:49.256,  End time: 14:36:49.568,  Total Time: 326]
[2024-01-03 14:37:22.365, Search APP Start Time: 14:37:22.068,  End time: 14:37:22.365,  Total Time: 297]
[2024-01-03 15:56:58.827, Search APP Start Time: 15:56:58.423,  End time: 15:56:58.827,  Total Time: 414]
[2024-01-03 16:02:20.058, Search APP Start Time: 16:02:19.985,  End time: 16:02:20.058,  Total Time: 73]
[2024-01-03 16:10:16.601, Search APP Start Time: 16:10:14.823,  End time: 16:10:16.601,  Total Time: 1813]
[2024-01-03 16:13:48.939, Search APP Start Time: 16:13:47.065,  End time: 16:13:48.939,  Total Time: 1874]
[2024-01-03 16:14:02.643, Search APP Start Time: 16:14:02.431,  End time: 16:14:02.643,  Total Time: 212]
[2024-01-03 16:58:49.763, Search APP Start Time: 16:58:49.333,  End time: 16:58:49.764,  Total Time: 442]
[2024-01-03 17:28:52.292, Search APP Start Time: 17:28:51.376,  End time: 17:28:52.292,  Total Time: 916]
[2024-01-03 17:30:04.407, Search APP Start Time: 17:30:03.714,  End time: 17:30:04.407,  Total Time: 693]
[2024-01-03 17:42:04.786, Search APP Start Time: 17:42:04.308,  End time: 17:42:04.788,  Total Time: 492]
[2024-01-03 17:43:18.869, Search APP Start Time: 17:43:18.606,  End time: 17:43:18.870,  Total Time: 263]
[2024-01-03 18:39:56.775, Search APP Start Time: 18:39:56.509,  End time: 18:39:56.775,  Total Time: 267]
